Comment,Designator,Footprint,LCSC,Quantity
680,R9,R_0603_1608Metric,,1
AP63203WU,U2,TSOT-23-6,,1
10uF,C1,C_0603_1608Metric,,1
22uF,C10,C_0603_1608Metric,,1
165k,R8,R_0603_1608Metric,,1
10uF,C9,C_0603_1608Metric,,1
2.2uF,C15,C_0603_1608Metric,,1
1k,R56,R_0603_1608Metric,,1
TPS259830LNRGER,IC1,TPS259830LNRGER,,1
47nF,C17,C_0603_1608Metric,,1
10k,R7,R_0603_1608Metric,,1
3.9uH,L1,L_Bourns-SRN6028,,1
50k,R40,R_0603_1608Metric,,1
75,R11,R_0603_1608Metric,,1
10uF,C39,C_0603_1608Metric,,1
42.2k,R6,R_0603_1608Metric,,1
30k,R26,R_0603_1608Metric,,1
DRV8871DDA,U8,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,,1
22uF,C8,C_0603_1608Metric,,1
10k,R1,R_0603_1608Metric,,1
TVS0500DRV,U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,,1
Micro_SD_Card,J5,microSD_HC_Hirose_DM3D-SF,,1
100uF,C6,C_1206_3216Metric,,1
22uF,C43,C_0603_1608Metric,,1
10uF,C38,C_0603_1608Metric,,1
Buzzer,BZ1,Buzzer_CUI_CPT-9019S-SMT,,1
1k,R17,R_0603_1608Metric,,1
SS32 (MDD),D3,D_SMA,,1
W25Q128JVS,U7,SOIC-8_5.3x5.3mm_P1.27mm,,1
10nF,C16,C_0603_1608Metric,,1
100nF,C42,C_0603_1608Metric,,1
100uF,C7,C_1206_3216Metric,,1
300,R33,R_0603_1608Metric,,1
100k,R37,R_0603_1608Metric,,1
300,R55,R_0603_1608Metric,,1
10uF,C11,C_0603_1608Metric,,1
22uF,C13,C_0603_1608Metric,,1
Si7617DN,Q1,Vishay_PowerPAK_1212-8_Single,,1
300,R25,R_0603_1608Metric,,1
10uF,C46,C_0603_1608Metric,,1
3.3,R51,R_2512_6332Metric,,1
300,R52,R_0603_1608Metric,,1
300,R22,R_0603_1608Metric,,1
300,R36,R_0603_1608Metric,,1
47uF,C2,C_0805_2012Metric,,1
10uF,C12,C_0603_1608Metric,,1
22uF,C14,C_0603_1608Metric,,1
3.3,R41,R_2512_6332Metric,,1
100nF,C19,C_0603_1608Metric,,1
1M,R2,R_0603_1608Metric,,1
